grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
3968,132.4656424,34.3841407,961.8,地表面,0.94,京橋川,212.9,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3969,132.4656289,34.3845912,955.2,地表面,0.74,京橋川,245.9,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3970,132.4656153,34.3850417,951.3,地表面,0.64,京橋川,277.9,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3971,132.4656017,34.3854922,950.0,地表面,1.14,京橋川,306.9,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3972,132.4655881,34.3859426,951.3,地表面,1.04,京橋川,335.9,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3973,132.4655745,34.3863931,955.2,地表面,1.34,京橋川,358.8,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3974,132.4655609,34.3868436,961.8,地表面,0.74,京橋川,381.8,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3975,132.4655474,34.3872941,970.8,地表面,0.74,京橋川,405.0,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3976,132.4655338,34.3877445,982.3,地表面,1.04,京橋川,428.2,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3977,132.4655202,34.388195,996.2,地表面,0.74,京橋川,436.1,02,0.20～0.49m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3978,132.4655066,34.3886455,1012.4,地表面,1.24,京橋川,423.1,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3979,132.465493,34.389096,1030.8,地表面,1.14,京橋川,410.2,00,想定区域外,3,3.0～5.0m未満,元安川・太田川・旧太田川
3980,132.4654794,34.3895464,1051.2,地表面,1.04,京橋川,399.4,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
3981,132.4654658,34.3899969,1073.5,地表面,1.14,京橋川,392.6,01,0.01～0.19m,3,3.0～5.0m未満,元安川・太田川・旧太田川
